Date,EmployeeID,Name,Attendance,HoursWorked,CheckIn,CheckOut
2024-02-30,E010,Employee_010,Y,7.42,08:54,16:19
01/14/2024,e007,Employee_007,Y,6.66,09:26,16:05
30-01-2024,E016,Employee_016,0,,,
2024-02-11,E026,Employee_026,Absent ,,,
15-02-2024,E005,Employee_005,1,,09:36,17:54
2024.03.27,E012,Employee_012,0,,,
02/24/2024,E023,Employee_023,p,8.06,09:07,17:11
2024/01/01,E029,Employee_029,Tardy,7.19,08:59,16:10
03/25/2024,E013,Employee_013,1,8.03,08:25,16:27
2024-03-02,E029,Employee_029,Not Present,,,
23 Jan 2024,e021,Employee_021,present,9.44,08:38,18:04
25-01-2024,E029,Employee_029,P,8.72,09:54,18:37
2024.01.12,E006,Employee_006,absent,,,
11-03-2024, e007 ,Employee_007,Y,8.08,09:41,17:46
2024/02/16,E002,Employee_002,P,7.5,09:28,16:58
01/10/2024,E030,Employee_030,on-duty,9.81,09:14,19:02
2024.02.25,E020,Employee_020,on-duty,7.14,09:25,16:33
19-Jan-2024,E001,Employee_001,Late ,8.44,08:52,17:19
2024.02.10,E027,Employee_027,A,,,
08 Feb 2024,E004,Employee_004,On Duty,7.85,07:57,15:48
Feb 30 2024,E008,Employee_008,P,8.91,09:01,17:56
2024-03-05,e028,Employee_028,Absent ,,,
20/01/2024,E019,Employee_019,Tardy,9.45,08:51,18:18
27/02/2024,E019,Employee_019,Absent ,,,
2024-01-02,e021,Employee_021,1,8.4,08:39,17:03
03/25/2024, E011,Employee_011,P,6.88,08:06,14:58
24-Mar-2024,E001,Employee_001,,9.11,09:03,18:09
25 Mar 2024,E008,Employee_008,present,9.19,09:47,18:58
2024/01/10, E022,Employee_022,on-duty,8.04,09:10,17:12
14-Feb-2024,E009,Employee_009,On Duty,7.83,08:17,16:07
2024/01/22,e021,Employee_021,on-duty,7.45,08:55,16:22
01-03-2024,E005,Employee_005,1,7.77,08:37,16:23
18 Feb 2024,E017,Employee_017,absent,,,
2024-03-18,E024,Employee_024,1,7.28,09:27,16:44
2024-02-05,E024,Employee_024,p,8.57,08:32,17:06
10-Mar-2024,E027,Employee_027,N,,,
02/26/2024,E009,Employee_009,holiday,,,
04/03/2024,E017,Employee_017,p,8.76,08:29,17:15
12-Jan-2024,E017,Employee_017,p,8.55,09:17,17:50
17-01-2024,E001,Employee_001,on-duty,7.64,08:50,16:28
17-Feb-2024,E023,Employee_023,1,8.14,09:27,17:35
2024/02/28,E020,Employee_020,Y,7.92,09:07,17:02
2024/01/19,e021,Employee_021,p,7.81,09:36,17:25
16-Mar-2024,E013,,p,7.83,08:59,16:49
